Move,Type,Category,Power Modifier 1,Power,Power Modifier 2,Accuracy Modifier 1,Accuracy Modifier 2,Target,Effect
High Jump Kick,Fighting,PHYSICAL,STRENGTH,5,,DEXTERITY,BRAWL,Single Target,"If the Accuracy Roll fails, the User receives damage equal to half of the User's Max HP, rounded down. The User removes 1 Success from the Accuracy Roll."
Hone Claws,Dark,SUPPORT,,0,,SPIRIT,NATURE,User,Increase the User’s Strength and Accuracy by 1.
Horn Attack,Normal,PHYSICAL,,0,,DEXTERITY,BRAWL,Single Target,-
Horn Drill,Normal,PHYSICAL,,0,,STRENGTH,BRAWL,Single Target,"The Target receives damage equal to the Target’s Remaining HP, plus 2 damage. Ignoring the Target's Defences. Horn Drill can not be a Critical Hit. Horn Drill is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Horn Drill can not be a Critical Hit. Horn Drill is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Horn Drill can not be Clashed. The User removes 7 Successes from the Accuracy Roll."
Horn Leech,Grass,PHYSICAL,STRENGTH,3,,ENDURANCE,NATURE,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Horn Leech always restores 1 HP."
Howl,Normal,SUPPORT,,0,,COOL,INTIMIDATE,User,Increase the User’s Strength by 1.
Hurricane,Flying,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,"On a Chance Dice roll of 8 or higher Confuse the Target. If Rain is in effect, Hurricane can not be Evaded, ignores the User's Accuracy decreases, and ignore Hurricane's removed successes. Hurricane can still target Pokemon that are charging the moves Fly, Bounce, and Sky Drop. The User removes 3 Successes from the Accuracy Roll."
Hydro Cannon,Water,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Recharge. The User removes 1 Success from the Accuracy Roll.
Hydro Pump,Water,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,User,The User removes 2 Successes from the Accuracy Roll.
Hydro Stream,Water,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,Add 2 extra dice to the Damage Pool if Sunny Weather is in effect. Hydro Stream is unaffected by the effects of Sunny Weather.
Hyper Beam,Normal,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Recharge. The User removes 1 Success from the Accuracy Roll.
Hyper Drill,Normal,PHYSICAL,STRENGTH,4,,STRENGTH,BRAWL,Single Target,"If the Target is under the effects of Protect, Detect, Spiky Shield, King's Shield, or Baneful Bunker, the Target still takes damage. "
Hyper Fang,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 10 Flinch. The User removes 1 Success from the Accuracy Roll.
Hyper Voice,Normal,SPECIAL,SPECIAL,3,,TOUGH,PERFORM,Multiple Targets,Sound Based.
Hyperspace Fury,Dark,PHYSICAL,STRENGTH,4,,SPIRIT,NATURE,Single Target,Decrease the User's Defense by 1. Ignore the effects of any Shield Moves the Target might have used. Hyperspace Fury can not be Evaded and ignores the User's Accuracy decreases.
Hyperspace Hole,Psychic,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,Ignore the effects of any Shield Moves the Target might have used. Hyperspace Hole can not be Evaded and ignores the User's Accuracy decreases.
Hypnosis,Psychic,SUPPORT,,0,,SPIRIT,ALLURE,Single Target,The Target is Alseep. The User removes 4 Successes from the Accuracy Roll.
Ice Ball,Ice,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,"Ice Ball can be perfromed multiple times in the same Round. Add 2 extra dice to the Damage Pool for every consecutive time the User performed Ice Ball. Up to 4 extra dice may be added this way. Reset the effect if the User performs another move, Evades, Clashes with another move, or Ice Ball fails to hit. The user may Clash with Ice Ball, but the Damage Pool does not increase. If Defense Curl was used this Turn add an extra 1 damage dice to the Damamge Pool. The User removes 1 Success from the Accuracy Roll. "
Ice Beam,Ice,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 10 Frostbite the Target.
Ice Burn,Ice,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Ranged. Charge Move. On a Chance Dice roll of 8 or higher Burn the Target. The User removes 1 Success from the Accuracy Roll.
Ice Fang,Ice,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 10 Flinch the Target. On a Chance Dice roll of 10 Frostbite the Target. The User removes 1 Success from the Accuracy Roll.
Ice Hammer,Ice,PHYSICAL,STRENGTH,4,,STRENGTH,BRAWL,Single Target,Decrease the User’s Dexterity by 1. The User removes 1 Success from the Accuracy Roll.
Ice Punch,Ice,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Fist Based. On a Chance Dice roll of 10 Frostbite the Target. 
Ice Shard,Ice,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Priority +1. Ranged.
Ice Spinner,Ice,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Remove the Terrain from the Battlefield.
Icicle Crash,Ice,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target. The User removes 1 Success from the Accuracy Roll.
Icicle Spear,Ice,PHYSICAL,STRENGTH,1,,DEXTERITY,CHANNEL,Single Target,Ranged. Successive Actions.
Icy Wind,Ice,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,Decrease the Target's Dexterity by 1. The User removes 1 Success from the Accuracy Roll.
Imprison,Psychic,SUPPORT,,0,,CLEVER,CHANNEL,Battlefield,All Pokemon on the Foe's side of the Battlefield can not perform any moves that the User has learnt. This effect lasts for as long as the User stays on the Battlefield.
Incinerate,Fire,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,Destroy the Berry held by the Target.
Infernal Parade,Ghost,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Burn the Target. Add 2 extra dice to the Damage Pool if the Target is affected by a Status Condition.
Inferno,Fire,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,The Target is Burned. The User removes 5 Successes from the Accuracy Roll.
Infestation,Bug,SPECIAL,SPECIAL,1,,TOUGH,NATURE,Single Target,"Block. At the end of the Turn Infestation does 1 Neutral damage. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User swaps out."
Ingrain,Grass,SUPPORT,,0,,SPECIAL,NATURE,User,The User restores 1 HP at the end of each the Turn. The User is Blocked.
Instruct,Psychic,SUPPORT,,0,,CLEVER,PERFORM,Single Target,"The Target repeats the last successful move that the Target performed, the repeated move uses Instruct's Accuracy Roll and does not use 1 of the Target's Actions. All effects of the repeated move apply, including decreased Accuracy. Instruct will fail if the Target did not perform a move."
Ion Deluge,Electric,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Priority +1. Normal Type Moves will deal damage as if they were Electric Type Moves.
Iron Defense,Steel,SUPPORT,,0,,ENDURANCE,CHANNEL,User,Increase the User’s Defense by 2.
Iron Head,Steel,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target.
Iron Tail,Steel,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher decrease the Target's Defense. The User removes 2 Successes from the Accuracy Roll.
Jaw Lock,Dark,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,Both the User and the Target are Blocked.
Jet Punch,Water,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Priority +1. Fist Based. 
Judgement,Normal,SPECIAL,SPECIAL,4,,SPIRIT,INTIMIDATE,Single Target,Judgement's Type always matches the User's primary Type.
Jump Kick,Fighting,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,"If the Accuracy Roll fails, the User receives damage equal to half of the User's Max HP, rounded down. "
Jungle Healing,Grass,SUPPORT,,,,SPIRIT,NATURE,User and Allies,The User and Allies restore 2 HP. The User and Allies are cured from all Status Conditions.
Karate Chop,Fighting,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical.
Kinesis,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,Decrease the Target's Accuracy. The User removes 2 Successes from the Accuracy Roll.
King's Shield,Steel,SUPPORT,,0,,DEXTERITY,BRAWL,Single Target,"Priority +4. Shield Move. Decrease any damage the User would receive from all Actions by a Physical or Special move to zero. King's Shield stops all OHKO moves. If the Target used a Physical move, decrease the Target's Strength by 2. "
Knock Off,Dark,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,"If the Target is holding a Held Item that can be removed, increase the Damage Pool of Knock Off by 2. The Target loses its held item."
Kowtow Kleave,Dark,PHYSICAL,STRENGTH,3,,CLEVER,ATHLETICS,Single Target,Kowtow Kleave can not be Evaded and ignores the User's Accuracy decreases.
Land's Wrath,Ground,PHYSICAL,STRENGTH,3,,STRENGTH,CHANNEL,Multiple Targets,Ranged.
Laser Focus,Normal,SUPPORT,,0,,SPIRIT,ALERT,User,The User's next Physical or Special move is always a Critical Hit.
Lash Out,Dark,PHYSICAL,STRENGTH,3,,TOUGH,BRAWL,Single Target,"If the User has had a Stat decreased this Turn, add 3 extra dice to the Damage Pool."
Last Resort,Normal,PHYSICAL,STRENGTH,6,,SPIRIT,BRAWL,Single Target,Last Resort fails if the User has not performed all of the its moves while the the User has been on the Battlefield.
Last Respects,Ghost,PHYSICAL,STRENGTH,2,,COOL,ETIQUETTE,Single Target,Add 2 extra dice of damage to the Damage Pool for each fainted Ally Pokemon. (Max 10 Damage Dice)
Lava Plume,Fire,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Area,On a Chance Dice roll of 8 or higher Burn the Target. 
Leaf Blade,Grass,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical.
Leaf Storm,Grass,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Decrease the User’s Special by 2. The User removes 1 Success from the Accuracy Roll.
Leaf Tornado,Grass,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 6 or higher Decrease the Target’s Accuracy by 1. The User removes 1 Success from the Accuracy Roll.
Leafage,Grass,PHYSICAL,STRENGTH,2,,DEXTERITY,CHANNEL,Single Target,Ranged.
Leech Life,Bug,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Leech Life always restores 1 HP."
Leech Seed,Grass,SUPPORT,,0,,SPECIAL,NATURE,Single Target,"During each Turn if the Target attempts to perfrom a move, the Target takes 2 Neutral damage, and the User of Leech Seed restores 2 HP. Grass Type Pokemon are immune to Leech Seed. The User removes 1 Success from the Accuracy Roll."
Leer,Normal,SUPPORT,,0,,TOUGH,INTIMIDATE,Multiple Targets,Decrease the Target's Defense by 1.
Lick,Ghost,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Paralyze the Target.
Life Dew,Water,SUPPORT,,0,,COOL,NATURE,User and Allies,The User and Allies restore 2 HP.
Light of Ruin,Fairy,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Recoil Move. The User receives 3 Neutral damage. The User removes 1 Success from the Accuracy Roll.
Light Screen,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Battlefield,"The User and Allies receive 2 less damage from Special moves, and Special based Clashes. This effect can not decrease the damage below 1. Lasts for 5 Turns. "
Liquidation,Water,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 9 or higher Decrease the Target’s Defense by 1.
Lock-On,Normal,SUPPORT,,0,,SPIRIT,ALERT,Single Target,The User's next move can not be Clashed or Evaded by the Target.
Lovely Kiss,Normal,SUPPORT,,0,,BEAUTY,ALLURE,Single Target,The Target is Asleep. The User removes 2 Successes from the Accuracy Roll.
Low Kick,Fighting,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Add 1 extra dice to the Damage Pool for every 50 kgs. of weight on the Target. Up to 5 extra dice may be added this way.
Low Sweep,Fighting,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Decrease the Target's Dexterity by 1.
Lucky Chant,Normal,SUPPORT,,0,,BEAUTY,PERFORM,Battlefield,The User and Allies are Immune to Critical Hits. Lasts for 5 Turns.
Lumina Crash,Psychic,SPECIAL,SPECIAL,3,,BEAUTY,CHANNEL,Single Target,Decrease the Target's Special Defense by 2.
Lunar Blessing,Psychic,SUPPORT,,,,SPIRIT,PERFORM,User and Allies,The User and Allies restore 2 HP. The User and Allies are cured from all Status Conditions.
Lunar Dance,Psychic,SUPPORT,,,,SPIRIT,PERFORM,One Ally,"The User Faints. Revive one fainted Ally to half of the Ally’s HP rounded down, the revived Ally does not gain any Will back. Lunar Dance fails if there are no fainted Allies. The revived Ally is immediatly send out with the same amount of Actions used as the User."
Lunge,Bug,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Decrease the Target’s Strength by 1.
Luster Purge,Psychic,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 6 or higher decrease the Target's Special Defense.
Mach Punch,Fighting,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Priority +1. Fist Based. 
Magic Coat,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,"Priority +4. Redirect the effects of a Support move that would affect the User or the User's side of the Battlefield towards the Target’s. (I.e. The Target used Stealth Rock, the User performs Magic Coat, Stealth Rock will affect the Target’s side instead of the User's)."
Magic Powder,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,"The Target's Types are changed to Psychic-Type, for as long as the Target is on the Battlefield."
Magic Room,Psychic,SUPPORT,,0,,BEAUTY,ETIQUETTE,Battlefield,"The User, Allies, and Foes can not use their Held Item, nor any other Items. If Magic Room is used again while the effects are already active, the effects end early. Lasts for 5 Turns."
Magical Leaf,Grass,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Magical Leaf can not be Evaded and ignores the User's Accuracy decreases.
Magma Storm,Fire,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,"Block. At the end of the Turn Magma Storm deals 2 Neutral damage. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User is switched. The User removes 2 Successes from the Accuracy Roll."
Magnet Bomb,Steel,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Ranged. Never Fail.
Magnet Rise,Electric,SUPPORT,,0,,SPIRIT,NATURE,User,The User gains Immunity against Ground-Type moves. Lasts for 5 Turns.
Magnetic Flux,Electric,SUPPORT,,0,,SPIRIT,NATURE,User and Allies,Increase the User's and Allies' that are an Electric-Type or a Steel-Type Defense and Special Defense by 1.
Magnitude,Ground,PHYSICAL,STRENGTH,0,,STRENGTH,CHANNEL,Area,Ranged. Roll a 1d6 Dice to determine Magnitude's Base Power. Magnitude can still target Pokemon that are charging the move Dig. Double the Base Power of Magnitude if the Target is charging Dig.
Make It Rain,Steel,SPECIAL,SPECIAL,5,,DEXTERITY,CHANNEL,Multiple Targets,"Decrease the User’s Special by 1. The User receives Pokedollars equal to the User's Rank: Starter - 10p, Beginner - 25p, Amateur - 50p, Ace - 75p, Pro - 100p, Elite - 125p, Master - 150p."
Mat Block,Fighting,SUPPORT,,0,,ENDURANCE,ATHLETICS,User and Allies,"Shield Move. Decrease any damage the User and Allies would receive from all Actions by a Physical or Special move to zero, and negate the move's effects. Decrease to zero the set damage from a move the User would take. Mat Block stops all OHKO moves. Mat Block only works the first Turn the User is out."
Me First,Normal,PHYSICAL,,0,,DEXTERITY,ALERT,Single Target,"Priority +1. If the Target performed a Physical or Special move, the User copies that move. All effects of the copied move apply, including decreased Accuracy. Me First fails if the Target did not perfrom a move this Turn. Add 2 extra dice to the Damage Pool. The copied move can not be Evaded and ignores the User's Accuracy decreases."
Mean Look,Normal,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,Block. This effect ends when the User swaps out. Never Fail.
Meditate,Psychic,SUPPORT,,0,,WILL,CHANNEL,User,Increase the User’s Strength by 1.
Mega Drain,Grass,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Mega Drain always restores 1 HP."
Mega Kick,Normal,PHYSICAL,STRENGTH,5,,STRENGTH,ATHLETICS,Single Target,The User removes 2 Successes from the Accuracy Roll.
Mega Punch,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,ATHLETICS,Single Target,The User removes 1 Success from the Accuracy Roll.
Megahorn,Bug,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,The User removes 1 Success from the Accuracy Roll.
Memento,Dark,SUPPORT,,0,,WILL,CHANNEL,Single Target,"The User faints. Decrease the Target’s Strength, Dexterity, Special, Defense and Special Defense by 2."
Metal Burst,Steel,PHYSICAL,,0,,ENDURANCE,BRAWL,Single Target,"The Target receives damage equal to 1.5 the amount of damage the User received from the last Physical or Special move that damaged the User this Turn, rounded down. Ignore the Target's Defenses. Metal Burst can only target the Target that damaged the User last. Metal Burst can not be a Critical Hit. Metal Burst is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Metal Burst can not be Clashed."
Metal Claw,Steel,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 10 Increase the user’s Strength by 1. The User removes 1 Success from the Accuracy Roll.
Metal Sound,Steel,SUPPORT,,0,,TOUGH,PERFORM,Single Target,Sound Based. Decrease the Target's Special Defense by 2. The User removes 1 Success from the Accuracy Roll.
Meteor Assault,Fighting,PHYSICAL,STRENGTH,6,,STRENGTH,BRAWL,Single Target,Recharge. The User removes 1 Success from the Accuracy Roll.
Meteor Beam,Rock,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,Charge Move. While charging increase the User's Special by 1. Accuracy -1
Meteor Mash,Steel,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Fist Based. On a Chance Dice roll of 9 or higher Increase the User’s Strength by 1. The User removes 1 Success from the Accuracy Roll.
Metronome,Normal,SPECIAL,,0,,SPIRIT,PERFORM,Single Target,Roll a 1d6 to determine Metronome's Base Power. Roll a 1d18 to determine Metronome's Type.
Milk Drink,Normal,SUPPORT,,0,,ENDURANCE,NATURE,User,The User restores 3 HP.
Mimic,Normal,SUPPORT,,0,,CLEVER,PERFORM,Single Target,Replace the move Mimic with the last move the Target used until the User leaves the Battlefield. 
Mind Blown,Fire,SPECIAL,SPECIAL,6,,SPIRIT,CHANNEL,Area,"The User receives damage equal to half of the User's Max HP, rounded down."
Mind Reader,Normal,SUPPORT,,0,,SPIRIT,CHANNEL,Single Target,The User's next move can not be Clashed or Evaded by the Target.
Minimize,Normal,SUPPORT,,0,,SPIRIT,CHANNEL,User,"Increase the User's Evasion by 2. If the User is targeted by the move Body Slam, Stomp, Dragon Rush, Steam Roller, Heat Crash, Heavy Slam, Flying Press, or Malicious Moonsault, the move can not be Evaded, and the move's Base Power is doubled for that Action."
Miracle Eye,Psychic,SUPPORT,,0,,SPIRIT,ALERT,Single Target,The User ignores the Psychic-Type Immunity when targeting Dark-Type Pokemon. The User ignores the Target's Evasion increases. Miracle Eye can not be Evaded and ignores the User's Accuracy decreases.
Mirror Coat,Psychic,SPECIAL,,0,,SPIRIT,ATHLETICS,Single Target,"Priority -1. The Target receives damage equal to double the amount of damage the User received from the last Special move that damaged the User this Turn. Ignore the Target's Defenses. Mirror Coat can only target the Target that damaged the User last. Mirror Coat can not be a Critical Hit. Mirror Coat is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Mirror Coat can not be Clashed."
Mirror Move,Flying,SUPPORT,,0,,SPIRIT,CHANNEL,Single Target,"Copy the last successful Physical or Special move that the Target performed. All effects of the copied move apply, including decreased Accuracy. Mirror Move will fail if the Target did not perform a move on the User."
Mirror Shot,Steel,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Confuse the Target. The User removes 1 Success from the Accuracy Roll.
Mist,Ice,SUPPORT,,0,,SPECIAL,NATURE,Battlefield,The User and Allies can not have their Stats decreased. Mist does not prevent Pokémon from lowering their own Stats. Lasts for 5 Turns.
Mist Ball,Psychic,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 6 or higher Decrease the Target's Special by 1.
Misty Explosion,Fairy,SPECIAL,SPECIAL,4,,ENDURANCE,CHANNEL,Multiple Targets,Add 2 Extra Dice to the Damage Pool if the User is affected by Misty Terrain .The User receives damage equal to its remaining HP. Ignore the User's Defences.
Misty Terrain,Fairy,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,"All Pokemon affected by this Terrain can not be affected by a Status Condition, and Confusion Ailment. All Physical and Special Dragon-Type moves can not add their Base Power to their Damage Pool, even if the User is no affected by the Terrain. Flying-Type Pokemon, Pokemon with the Ability Levitate, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by this Terrain. Lasts for 5 Turns. "
Moonblast,Fairy,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher decrease Target’s Special by 1.
Moongeist Beam,Ghost,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,Moongeist Beam ignores the effects of the Target's Ability.
Moonlight,Fairy,SUPPORT,,0,,BEAUTY,NATURE,User,"The User restores 3 HP. If Moonlight is performed during the night, or under the effects of Sunny Weather, the User restores 4 HP instead. If Moonlight is performed under the effects of Rain/Sandstorm/Hail Weather Moonlight restores 2 HP instead."
Morning Sun,Normal,SUPPORT,,0,,ENDURANCE,NATURE,Single Target,The User restores 3 HP. If Morning Sun is performed under the effects of Sunny Weather the User restores 4 HP instead. If Morning Sun is performed under the effects of Rain/Sandstorm/Hail Morning Sun restores 2 HP instead.
Mortal Spin,Poison,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Multiple Targets,"The User removes the effects of Blocked. The Target isPoisoned. Remove all Entry Hazards (Spikes, Stealth Rock, etc.) and Leech Seed from the User's side of the Battlefield."
Mud Bomb,Ground,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Decrease the Target’s Accuracy by 1. The User removes 2 Successes from the Accuracy Roll.
Mud Shot,Ground,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Decrease the Target's Dexterity. The User removes 1 Success from the Accuracy Roll.
Mud Slap,Ground,SPECIAL,SPECIAL,1,,DEXTERITY,CHANNEL,Single Target,Decrease the Target’s Accuracy by 1.
Mud Sport,Ground,SUPPORT,,0,,CLEVER,NATURE,Battlefield,All Electric-Type moves can not add their Base Power to the Damage Pool. Lasts for 5 Turns.
Muddy Water,Water,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Multiple Targets,On a Chance Dice roll of 8 or higher decrease the Target's Accuracy by 1. The User removes 1 Success from the Accuracy Roll.
Multi-Attack,Normal,PHYSICAL,STRENGTH,5,,DEXTERITY,BRAWL,Single Target,Multi-Attack's changes Type to match the Type of the User.
Mystical Fire,Fire,SPECIAL,SPECIAL,2,,SPIRIT,CHANNEL,Single Target,Decrease the Target’s Special by 1.
Mystical Power,Psychic,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,Increase the User's Special by 1. Accuracy -1
Nasty Plot,Dark,SUPPORT,,0,,CLEVER,ALERT,User,Increase the User’s Special by 2.
Natural Gift,Normal,PHYSICAL,STRENGTH,0,,DEXTERITY,NATURE,Single Target,Ranged. The User loses its Held Berry. Refer to the Rulebook for Berry effects.
Nature Power,Normal,SPECIAL,SPECIAL,0,,SPECIAL,NATURE,Single Target,"Nature Power's Type changes depending on the Battlefield's enviroment, refer to the Rulebook on Battlefield enviroments."
Nature's Madness,Fairy,SPECIAL,,0,,SPIRIT,NATURE,Single Target,"The User deals damage equal to half of the Target's remaining HP, Turned up. If the remaining HP of the Target is 1, Nature's Madness fails. Ignore the Target's Defenses. Nature's Madness can not be a Critical Hit, and is unaffected by STAB. Nature's Madness is not affected by Weakness, or Resistance, Immunities still apply. Nature's Madness can not be Clashed. The User removes 1 Success from the Accuracy Roll."
Needle Arm,Grass,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target.
Night Daze,Dark,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 7 or higher decrease the Target’s Accuracy by 1.
Night Shade,Ghost,SPECIAL,,2,,SPIRIT,CHANNEL,Single Target,"The Target receives Ghost-Type damage equal the the User's Rank. 1 damage at Starter Rank. 2 damage at Beginner Rank. 3 damage at Amateur Rank. 4 damage at Ace Rank. 5 damage at Pro Rank. Ignoring the Target’s Defense. Night Shade can not be a Critical Hit, and is unaffected by STAB. Night Shade is unaffected by Super Effective, and Resistance, Immunities still apply. Night Shade can not be Clashed."
Night Slash,Dark,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,-
Nightmare,Ghost,SUPPORT,,0,,WILL,CHANNEL,Single Target,"At the begining of each Turn if the Target is Asleep deal 3 Neutral Damage to the Target. Nightmare fails if the Target is awake, and its effects are removed when the Target wakes up. The affected Pokemon is Immune from the effects of Nightmare for as long as the Target stays on the Battlefield."
No Retreat,Fighting,SUPPORT,,0,,TOUGH,ALERT,User,"Increase the User's Strength, Dexterity, Special, Defense and Special Defense by 1. The User is Blocked."
Noble Roar,Normal,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,Decrease the Target's Strength and Special by 1.
Nuzzle,Electric,PHYSICAL,STRENGTH,1,,CUTE,ALLURE,Single Target,The Target is Paralyzed.
Oblivion Wing,Flying,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,"High Critical. The User restores HP equal to half the damage dealt, rounded down. Oblivion Wing always restores 1 HP."
Obstruct,Dark,SUPPORT,,0,,STRENGTH,INTIMIDATE,User,"Priority +4. Shield Move. Decrease any damage the User would receive from all Actions by a Physical or Special move to zero, and negate the move's effects. If the Target used a Non-Ranged Physical Move against the User, Decrease the Targets Defense by 2. Obstruct stops all OHKO moves."
Octazooka,Water,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 6 or higher decrease the Target’s Accuracy by 1. The User removes 1 Success from the Accuracy Roll.
Octolock,Fighting,SUPPORT,,0,,STRENGTH,BRAWL,Single Target,"Block. If the Target attempts to perform a move while blocked, decrease the Target's Defense and Special Defense by 1."
Odor Sleuth,Normal,SUPPORT,,0,,SPIRIT,ALERT,Single Target,"The User's move can not be Evaded by the Target. If the Target is a Ghost-Type Pokemon, the Target will lose its Immunities to Fighting-Type and Normal-Type moves. Odor Sleuth can not be Evaded and ignores the User's Accuracy decreases."
Ominous Wind,Ghost,SPECIAL,SPECIAL,2,,TOUGH,CHANNEL,Single Target,"On a Chance Dice roll of 10 Increase the User's Strength, Dexterity, Special, Defense, and Special Defense by 1."
Order Up,Dragon,PHYSICAL,STRENGTH,3,,ENDURANCE,BRAWL,Single Target,"When the User is affected by a Tatsugiri using the Ability Commander, increase the User’s Stat according to the form of the Tatsugiri. Curly Form increases Strength by 1. Droopy Form increases Defense by 1. Stretchy Form increases Dexterity by 1."
Origin Pulse,Water,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,The User removes 2 Successes from the Accuracy Roll.
Outrage,Dragon,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Random Foe,Rampage. Outrage targets a random Foe.
