Number,Species,Type 1,Type 2,Base HP,Base Str,Dot Str,Base Dex,Dot Dex,Base End,Dot End,Base Sp,Dot Sp,Base Spirit,Dot Spirit,ABILITY 1,ABILITY 2,H.ABILITY,Evolves From,Evolution Method,Height,Weight
215,Sneasel,Dark,Ice,5,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,Inner Focus,Keen Eye,Pickpocket,,,0.9,28
215,Hisuian Sneasel,Fighting,Poison,5,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,Inner Focus,Keen Eye,Pickpocket,,,0.9,27
216,Teddiursa,Normal,,6,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Pickup,Quick Feet,Honey Gather,,,0.6,8.8
217,Ursaring,Normal,,9,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Guts,Quick Feet,Unnerve,Teddiursa,Ace Rank,1.8,125.8
218,Slugma,Fire,,4,1,⬤,1,⬤,1,⬤,2,⬤⬤,1,⬤,Magma Armor,Flame Body,Weak Armor,,,0.7,35
219,Magcargo,Fire,Rock,6,2,⬤⬤,1,⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Magma Armor,Flame Body,Weak Armor,Slugma,Ace Rank,0.8,55
220,Swinub,Ice,Ground,5,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Oblivious,Snow Cloak,Thick Fat,,,0.4,6.5
221,Piloswine,Ice,Ground,10,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Oblivious,Snow Cloak,Thick Fat,Swinub,Ace Rank,1.1,55.8
222,Corsola,Water,Rock,6,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Hustle,Natural Cure,Regenerator,,,0.6,5
222,Galarian Corsola,Ghost,,6,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Weak Armor,,Curse Body,,,0.6,0.5
223,Remoraid,Water,,3,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Hustle,Sniper,Moody,,,0.6,12
224,Octillery,Water,,7,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Suction Cups,Sniper,Moody,Remoraid,Amateur Rank,0.9,28.5
225,Delibird,Ice,Flying,4,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Vital Spirit,Hustle,Insomnia,,,0.9,16
226,Mantine,Water,Flying,8,1,⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Swift Swim,Water Absorb,Water Veil,Mantyke,Own a Remoraid,2.1,220
227,Skarmory,Steel,Flying,6,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,1,⬤,2,⬤⬤,Keen Eye,Sturdy,Weak Armor,,,1.7,50.5
228,Houndour,Dark,Fire,4,2,⬤⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,Early Bird,Flash Fire,Unnerve,,,0.6,10.8
229,Houndoom,Dark,Fire,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Early Bird,Flash Fire,Unnerve,Houndour,Amateur Rank,1.4,35
229,Mega Houndoom,Dark,Fire,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Solar Power,,,,,1.9,49.5
230,Kingdra,Water,Dragon,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Swift Swim,Sniper,Damp,Seadra,Dragon Scale,1.8,152
231,Phanpy,Ground,,9,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Pickup,,Sand Veil,,,0.5,33.5
232,Donphan,Ground,,9,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Sturdy,,Sand Veil,Phanpy,Amateur Rank,1.1,120
233,Porygon2,Normal,,8,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Trace,Download,Analytic,Porygon,Upgrade,0.6,32.5
234,Stantler,Normal,,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Intimidate,Frisk,Sap Sipper,,,1.4,71.2
235,Smeargle,Normal,,5,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,2,⬤⬤,Own Tempo,Technician,Moody,,,1.2,58
236,Tyrogue,Fighting,,3,1,⬤,1,⬤,1,⬤,1,⬤,1,⬤,Guts,Steadfast,Vital Spirit,,,0.7,21
237,Hitmontop,Fighting,,5,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Intimidate,Technician,Steadfast,Tyrogue,Amateur Rank,1.4,48
238,Smoochum,Ice,Psychic,4,1,⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,Oblivious,Forewarn,Hydration,,,0.4,6
239,Elekid,Electric,,4,2,⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Static,,Vital Spirit,,,0.6,23.5
240,Magby,Fire,,4,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Flame Body,,Vital Spirit,,,0.7,21.4
241,Miltank,Normal,,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Thick Fat,Scrappy,Sap Sipper,,,1.2,75.5
242,Blissey,Normal,,25,1,⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Natural Cure,Serene Grace,Healer,Chansey,Max Friendship,1.5,46.8
243,Raikou,Electric,,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pressure,,Volt Absorb,,,1.9,178
244,Entei,Fire,,11,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pressure,,Flash Fire,,,2.1,198
245,Suicune,Water,,10,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pressure,,Water Absorb,,,2,187
246,Larvitar,Rock,Ground,5,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Guts,,Sand Veil,,,0.6,72
247,Pupitar,Rock,Ground,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Shed Skin,,,Larvitar,Ace Rank,1.2,152
248,Tyranitar,Rock,Dark,10,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Sand Stream,,Unnerve,Pupitar,Elite Rank,2,202
248,Mega Tyranitar,Rock,Dark,10,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Sand Stream,,,,,2.5,255
249,Lugia,Psychic,Flying,10,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Pressure,,Multiscale,,,5.2,216
250,Ho-Oh,Fire,Flying,10,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Pressure,,Regenerator,,,3.8,199
251,Celebi,Psychic,Grass,10,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Natural Cure,,,,,0.6,5
252,Treecko,Grass,,4,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Overgrow,,Unburden,,,0.5,5
253,Grovyle,Grass,,5,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Overgrow,,Unburden,Treecko,Amateur Rank,0.9,21.6
254,Sceptile,Grass,,7,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Overgrow,,Unburden,Grovyle,Ace Rank,1.7,52.2
254,Mega Sceptile,Grass,Dragon,7,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Lightning Rod,,,,,1.9,55.2
255,Torchic,Fire,,4,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Blaze,,Speed Boost,,,0.4,2.5
256,Combusken,Fire,Fighting,6,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Blaze,,Speed Boost,Torchic,Amateur Rank,0.9,19.5
257,Blaziken,Fire,Fighting,8,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Blaze,,Speed Boost,Combusken,Ace Rank,1.9,52
257,Mega Blaziken,Fire,Fighting,8,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Speed Boost,,,,,1.9,52
258,Mudkip,Water,,5,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Torrent,,Damp,,,0.4,7.6
259,Marshtomp,Water,Ground,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Torrent,,Damp,Mudkip,Amateur Rank,0.7,28
260,Swampert,Water,Ground,10,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Torrent,,Damp,Marshtomp,Ace Rank,1.5,81.9
260,Mega Swampert,Water,Ground,10,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Swift Swim,,,,,1.9,102
261,Poochyena,Dark,,3,2,⬤⬤,1,⬤,1,⬤,1,⬤,1,⬤,Run Away,Quick Feet,Rattled,,,0.5,13.6
262,Mightyena,Dark,,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Intimidate,Quick Feet,Moxie,Poochyena,Amateur Rank,1,37
263,Zigzagoon,Normal,,3,1,⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Pickup,Gluttony,Quick Feet,,,0.4,17.5
263,Galarian Zigzagoon,Dark,Normal,3,1,⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Pickup,Gluttony,Quick Feet,,,0.4,17.5
264,Linoone,Normal,,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Pickup,Gluttony,Quick Feet,Zigzagoon,Amateur Rank,0.5,32.5
264,Galarian Linoone,Dark,Normal,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Pickup,Gluttony,Quick Feet,Zigzagoon-Galarian,Amateur Rank,0.5,32.5
265,Wurmple,Bug,,4,2,⬤⬤,1,⬤,1,⬤,1,⬤,1,⬤,Shield Dust,,Run Away,,,0.3,3.6
266,Silcoon,Bug,,5,1,⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Shed Skin,,,Wurmple,Beginner Rank,0.6,10
267,Beautifly,Bug,Flying,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Swarm,,Rivalry,Silcoon,Amateur Rank,1,28.4
268,Cascoon,Bug,,5,1,⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Shed Skin,,,Wurmple,Beginner Rank,0.7,11.5
269,Dustox,Bug,Poison,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Shield Dust,,Compound Eyes,Cascoon,Amateur Rank,1.2,31.6
270,Lotad,Water,Grass,4,1,⬤,1,⬤,1,⬤,1,⬤,2,⬤⬤,Swift Swim,Rain Dish,Own Tempo,,,0.5,2.6
271,Lombre,Water,Grass,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Swift Swim,Rain Dish,Own Tempo,Lotad,Beginner Rank,1.2,32.5
272,Ludicolo,Water,Grass,8,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Swift Swim,Rain Dish,Own Tempo,Lombre,Water Stone,1.5,55
273,Seedot,Grass,,4,1,⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Chlorophyll,Early Bird,Pickpocket,,,0.5,4
274,Nuzleaf,Grass,Dark,7,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Chlorophyll,Early Bird,Pickpocket,Seedot,Beginner Rank,1,28
275,Shiftry,Grass,Dark,9,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Chlorophyll,Early Bird,Pickpocket,Nuzleaf,Leaf Stone,1.3,59.6
276,Taillow,Normal,Flying,4,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,1,⬤,Guts,,Scrappy,,,0.3,2.3
277,Swellow,Normal,Flying,6,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Guts,,Scrappy,Taillow,Amateur Rank,0.7,19.8
278,Wingull,Water,Flying,4,1,⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,Keen Eye,Hydration,Rain Dish,,,0.6,9.5
279,Pelipper,Water,Flying,6,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Keen Eye,Drizzle,Rain Dish,Wingull,Amateur Rank,1.2,28
280,Ralts,Psychic,Fairy,2,1,⬤,1,⬤,1,⬤,2,⬤⬤,1,⬤,Synchronize,Trace,Telepathy,,,0.4,6.6
281,Kirlia,Psychic,Fairy,3,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Synchronize,Trace,Telepathy,Ralts,Amateur Rank,0.8,20.2
282,Gardevoir,Psychic,Fairy,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Synchronize,Trace,Telepathy,Kirlia,Ace Rank,1.6,48.4
282,Mega Gardevoir,Psychic,Fairy,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,Pixilate,,,,,1.6,48.4
283,Surskit,Bug,Water,4,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Swift Swim,,Rain Dish,,,0.5,1.7
284,Masquerain,Bug,Flying,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Intimidate,,Unnerve,Surskit,Amateur Rank,0.8,3.6
285,Shroomish,Grass,,6,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Effect Spore,Poison Heal,Quick Feet,,,0.4,4.5
286,Breloom,Grass,Fighting,6,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Effect Spore,Poison Heal,Technician,Shroomish,Amateur Rank,1.2,39.2
287,Slakoth,Normal,,6,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Truant,,,,,0.8,24
288,Vigoroth,Normal,,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Vital Spirit,,,Slakoth,Amateur Rank,1.4,46.5
289,Slaking,Normal,,15,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Truant,,,Vigoroth,Ace Rank,2,130.5
290,Nincada,Bug,Ground,3,2,⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Compound Eyes,,Run Away,,,0.5,5.5
291,Ninjask,Bug,Flying,6,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Speed Boost,,Infiltrator,Nincada,Amateur Rank,0.8,12
292,Shedinja,Bug,Ghost,0,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Wonder Guard,,,Nincada,Amateur Rank,0.8,1.2
293,Whismur,Normal,,6,2,⬤⬤,1,⬤,1,⬤,2,⬤⬤,1,⬤,Soundproof,,Rattled,,,0.6,16.3
294,Loudred,Normal,,8,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Soundproof,,Scrappy,Whismur,Amateur Rank,1,40.5
295,Exploud,Normal,,10,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Soundproof,,Scrappy,Loudred,Ace Rank,1.5,84
296,Makuhita,Fighting,,7,2,⬤⬤,1,⬤,1,⬤,1,⬤,1,⬤,Thick Fat,Guts,Sheer Force,,,1,86.4
297,Hariyama,Fighting,,14,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Thick Fat,Guts,Sheer Force,Makuhita,Amateur Rank,2.3,253.8
298,Azurill,Normal,Fairy,5,1,⬤,1,⬤,1,⬤,1,⬤,1,⬤,Thick Fat,Huge Power,Sap Sipper,,Max Friendship,0.2,2
299,Nosepass,Rock,,3,2,⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Sturdy,Magnet Pull,Sand Force,,,1,97
300,Skitty,Normal,,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,Cute Charm,Normalize,Wonder Skin,,,0.6,11
301,Delcatty,Normal,,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Cute Charm,Normalize,Wonder Skin,Skitty,Moon Stone,1.1,32.6
302,Sableye,Dark,Ghost,5,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Keen Eye,Stall,Prankster,,,0.5,11
302,Mega Sableye,Dark,Ghost,5,3,⬤⬤⬤,1,⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Magic Bounce,,,,,0.5,161
303,Mawile,Steel,Fairy,5,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Hyper Cutter,Intimidate,Sheer Force,,,0.6,11.5
303,Mega Mawile,Steel,Fairy,5,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Huge Power,,,,,1,23.5
304,Aron,Steel,Rock,5,2,⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Sturdy,Rock Head,Heavy Metal,,,0.4,60
305,Lairon,Steel,Rock,6,3,⬤⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Sturdy,Rock Head,Heavy Metal,Aron,Ace Rank,0.9,120
306,Aggron,Steel,Rock,7,3,⬤⬤⬤,2,⬤⬤,5,⬤⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Sturdy,Rock Head,Heavy Metal,Lairon,Pro Rank,2.1,360
306,Mega Aggron,Steel,,7,4,⬤⬤⬤⬤,2,⬤⬤,5,⬤⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Filter,,,,,2.2,395
307,Meditite,Fighting,Psychic,3,1,⬤,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Pure Power,,Telepathy,,,0.6,11.2
308,Medicham,Fighting,Psychic,6,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Pure Power,,Telepathy,Meditite,Ace Rank,1.3,31.5
308,Mega Medicham,Fighting,Psychic,6,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pure Power,,,,,1.3,31.5
309,Electrike,Electric,,4,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Static,Lightning Rod,Minus,,,0.6,15.2
310,Manectric,Electric,,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Static,Lightning Rod,Minus,Electrike,Amateur Rank,1.5,40.2
311,Mega Manectric,Electric,,7,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Intimidate,,,,,1.8,44
311,Plusle,Electric,,6,2,⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,Plus,,Lightning Rod,,,0.4,4.2
312,Minun,Electric,,6,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Minus,,Volt Absorb,,,0.4,4.2
313,Volbeat,Bug,,6,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Illuminate,Swarm,Prankster,,,0.7,17.7
314,Illumise,Bug,,6,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Oblivious,Tinted Lens,Prankster,,,0.6,17.7
315,Roselia,Grass,Poison,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Natural Cure,Poison Point,Leaf Guard,Budew,Max Friendship,0.3,2
316,Gulpin,Poison,,7,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Liquid Ooze,Sticky Hold,Gluttony,,,0.4,10.3
317,Swalot,Poison,,10,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Liquid Ooze,Sticky Hold,Gluttony,Gulpin,Amateur Rank,1.7,80
318,Carvanha,Water,Dark,4,3,⬤⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Rough Skin,,Speed Boost,,,0.8,20.8
319,Sharpedo,Water,Dark,7,4,⬤⬤⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,Rough Skin,,Speed Boost,Carvanha,Ace Rank,1.8,88.8
319,Mega Sharpedo,Water,Dark,7,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Strong Jaw,,,,,2.5,130.3
320,Wailmer,Water,,13,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Water Veil,Oblivious,Pressure,,,2,130
321,Wailord,Water,,17,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Water Veil,Oblivious,Pressure,Wailmer,Ace Rank,14.5,398
322,Numel,Fire,Ground,6,2,⬤⬤,1,⬤,1,⬤,2,⬤⬤,2,⬤⬤,Oblivious,Simple,Own Tempo,,,0.7,24
323,Camerupt,Fire,Ground,7,3,⬤⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Magma Armor,Solid Rock,Anger Point,Numel,Ace Rank,1.9,220
323,Mega Camerupt,Fire,Ground,7,4,⬤⬤⬤⬤,1,⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Sheer Force,,,,,2.5,320.5
324,Torkoal,Fire,,7,3,⬤⬤⬤,1,⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,White Smoke,Drought,Shell Armor,,,0.5,80.4
325,Spoink,Psychic,,6,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,Thick Fat,Own Tempo,Gluttony,,,0.7,30.6
326,Grumpig,Psychic,,8,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Thick Fat,Own Tempo,Gluttony,Spoink,Ace Rank,0.9,71.5
327,Spinda,Normal,,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Own Tempo,Tangled Feet,Contrary,,,1.1,5
328,Trapinch,Ground,,4,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Hyper Cutter,Arena Trap,Sheer Force,,,0.7,15
329,Vibrava,Ground,Dragon,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Levitate,,,Trapinch,Ace Rank,1.1,15.3
330,Flygon,Ground,Dragon,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Levitate,,,Vibrava,Pro Rank,2,82
331,Cacnea,Grass,,5,3,⬤⬤⬤,1,⬤,1,⬤,3,⬤⬤⬤,1,⬤,Sand Veil,,Water Absorb,,,0.4,51.3
332,Cacturne,Grass,Dark,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Sand Veil,,Water Absorb,Cacnea,Ace Rank,1.3,77.4
333,Swablu,Normal,Flying,4,1,⬤,2,⬤⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,Natural Cure,,Cloud Nine,,,0.4,1.2
334,Altaria,Dragon,Flying,7,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Natural Cure,,Cloud Nine,Swablu,Ace Rank,1.1,20.6
334,Mega Altaria,Dragon,Fairy,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pixilate,,,,,1.5,20.6
335,Zangoose,Normal,,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Immunity,,Toxic Boost,,,1.3,40.3
336,Seviper,Poison,,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Shed Skin,,Infiltrator,,,2.7,52.5
337,Lunatone,Rock,Psychic,9,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Levitate,,,,,1,168
338,Solrock,Rock,Psychic,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Levitate,,,,,1.2,154
339,Barboach,Water,Ground,5,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Oblivious,Anticipation,Hydration,,,0.4,1.9
340,Whiscash,Water,Ground,11,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Oblivious,Anticipation,Hydration,Barboach,Ace Rank,0.9,23.6
341,Corphish,Water,,4,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,1,⬤,Hyper Cutter,Shell Armor,Adaptability,,,0.6,11.5
342,Crawdaunt,Water,Dark,6,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Hyper Cutter,Shell Armor,Adaptability,Corphish,Ace Rank,1.1,32.8
343,Baltoy,Ground,Psychic,4,1,⬤,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Levitate,,,,,0.5,21.5
